Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,search-query,query-date,doi,bibtex,doi_link,No Survey / Literature Review,Contains Experiments and Results for WTPC,Full Text Available,Used Features,Used Models,Used Evaluation Metrics,Dataset Description,Dataset From Date,Dataset To Date,Time period,Granularity,Number of Turbines,Location,Available Features,Power per WT,Onshore/Offshore?,Observed Failures,Dataset Availability,Source Code Availability
"Astolfi, Davide; Pandit, Ravi; ",Multivariate wind turbine power curve model based on data clustering and polynomial LASSO regression,Applied Sciences,12.0,1.0,72,2021,MDPI,power curve model,2025-06-12,10.3390/app12010072,"@article{Astolfi_2021, title={Multivariate Wind Turbine Power Curve Model Based on Data Clustering and Polynomial LASSO Regression}, volume={12}, ISSN={2076-3417}, url={http://dx.doi.org/10.3390/app12010072}, DOI={10.3390/app12010072}, number={1}, journal={Applied Sciences}, publisher={MDPI AG}, author={Astolfi, Davide and Pandit, Ravi}, year={2021}, month=dec, pages={72} }",https://doi.org/10.3390/app12010072,True,True,True,"Blade Pitch Angle, Rotor RPM, Air Density, Ambient Temperature","LASSO, SVR, Gaussian Process","Residuals, MAE, MAPE, RMSE",Lucky Wind s.p.a.,01.01.2019,31.12.2020,,,1 Vestas V52,Southern Italy,5,"0,85",,,No,No
"Mehrjoo, Mehrdad; Jozani, Mohammad Jafari; Pawlak, Miroslaw; Bagen, Bagen; ",A multilevel modeling approach towards wind farm aggregated power curve,IEEE Transactions on Sustainable Energy,12.0,4,2230-2237,2021,IEEE,wind farm power curve,2025-06-12,10.1109/tste.2021.3087018,"@article{Mehrjoo_2021, title={A Multilevel Modeling Approach Towards Wind Farm Aggregated Power Curve}, volume={12}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2021.3087018}, DOI={10.1109/tste.2021.3087018}, number={4}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Mehrjoo, Mehrdad and Jozani, Mohammad Jafari and Pawlak, Miroslaw and Bagen, Bagen}, year={2021}, month=oct, pages={2230–2237} }",https://doi.org/10.1109/tste.2021.3087018,True,True,True,Wind Speed Only,Splines,"MAE, RMSE",,1/6/2006,31/1/2007,,10 min,63,Canada,1,1.7,Onshore,,No,No
"Feijóo-Lorenzo, Andrés E; ",Wind Farm Power Curves and Power Distributions,Energies,15.0,1,182,2021,MDPI,wind farm power curve,2025-06-12,10.3390/en15010182,"@article{Feij_o_Lorenzo_2021, title={Wind Farm Power Curves and Power Distributions}, volume={15}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en15010182}, DOI={10.3390/en15010182}, number={1}, journal={Energies}, publisher={MDPI AG}, author={Feijóo-Lorenzo, Andrés E.}, year={2021}, month=dec, pages={182} }",https://doi.org/10.3390/en15010182,True,False,True,,,None,,,,,,,,,,,,,
"Karamichailidou, Despina; Kaloutsa, Vasiliki; Alexandridis, Alex; ",Wind turbine power curve modeling using radial basis function neural networks and tabu search,Renewable Energy,163.0,,2137-2152,2021,Elsevier,power curve,2025-06-12,10.1016/j.renene.2020.10.020,"@article{Karamichailidou_2021, title={Wind turbine power curve modeling using radial basis function neural networks and tabu search}, volume={163}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2020.10.020}, DOI={10.1016/j.renene.2020.10.020}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Karamichailidou, Despina and Kaloutsa, Vasiliki and Alexandridis, Alex}, year={2021}, month=jan, pages={2137–2152} }",https://doi.org/10.1016/j.renene.2020.10.020,True,True,True,"Ambient Temperature, Blade Pitch Angle, Wind Direction",RBFNN,MAE,,,,1 year,10 min,4,,,,,,No,No
"Xu, Keyi; Yan, Jie; Zhang, Hao; Zhang, Haoran; Han, Shuang; Liu, Yongqian; ",Quantile based probabilistic wind turbine power curve model,Applied Energy,296.0,,116913,2021,Elsevier,power curve,2025-06-12,10.46855/energy-proceedings-7399,"@article{Xu_2021, title={Quantile based probabilistic wind turbine power curve model}, url={http://dx.doi.org/10.46855/energy-proceedings-7399}, DOI={10.46855/energy-proceedings-7399}, publisher={Applied Energy Innovation Institute (AEii)}, author={Xu, Keyi and Yan, Jie and Zhang, Hao and Zhang, Zhaoran and Han, Shuang and Liu, Yongqian}, year={2021}, month=mar }",https://doi.org/10.46855/energy-proceedings-7399,True,True,True,Blade Pitch Angle,"NN with Quantile Loss, IEC Standard",None,Chinese Wind Farm,,,1 year,1 min,3,China,,,,,No,No
"Gao, Linyue; Li, Bochen; Hong, Jiarong; ",Effect of wind veer on wind turbine power generation,Physics of Fluids,33.0,1.0,,2021,AIP Publishing,wind turbine power,2025-06-13,10.1063/5.0033826,"@article{Gao_2021, title={Effect of wind veer on wind turbine power generation}, volume={33}, ISSN={1089-7666}, url={http://dx.doi.org/10.1063/5.0033826}, DOI={10.1063/5.0033826}, number={1}, journal={Physics of Fluids}, publisher={AIP Publishing}, author={Gao, Linyue and Li, Bochen and Hong, Jiarong}, year={2021}, month=jan }",https://doi.org/10.1063/5.0033826,True,False,True,,,None,,,,5 years,2min,1,"Rosemount, Minnesota, USA",,2.5MW,Onshore,,On Request,No
"Pandit, Ravi Kumar; Infield, David; Kolios, Athanasios; ",Gaussian process power curve models incorporating wind turbine operational variables,Energy Reports,6.0,,1658-1669,2020,Elsevier,power curve estimation,2025-06-12,10.1016/j.egyr.2020.06.018,"@article{Pandit_2020, title={Gaussian process power curve models incorporating wind turbine operational variables}, volume={6}, ISSN={2352-4847}, url={http://dx.doi.org/10.1016/j.egyr.2020.06.018}, DOI={10.1016/j.egyr.2020.06.018}, journal={Energy Reports}, publisher={Elsevier BV}, author={Pandit, Ravi Kumar and Infield, David and Kolios, Athanasios}, year={2020}, month=nov, pages={1658–1669} }",https://doi.org/10.1016/j.egyr.2020.06.018,True,True,True,"Blade Pitch Angle, Rotor RPM, Air Pressure, Air Density","Gaussian Process, IEC Standard","MAE, RMSE, R^2, Residuals",,01.07.2012,31.12.2012,,10,Multiple,"Scotland, UK",> 100,"2,3",Onshore,,No,No
"Helbing, Georg; Ritter, Matthias; ",Improving wind turbine power curve monitoring with standardisation,Renewable energy,145.0,,1040-1048,2020,Elsevier,power curve monitoring,2025-06-12,10.1016/j.renene.2019.06.112,"@article{Helbing_2020, title={Improving wind turbine power curve monitoring with standardisation}, volume={145}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2019.06.112}, DOI={10.1016/j.renene.2019.06.112}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Helbing, Georg and Ritter, Matthias}, year={2020}, month=jan, pages={1040–1048} }",https://doi.org/10.1016/j.renene.2019.06.112,True,True,True,Wind Speed Only,"Logistic Function, MCS, Linear model",None,,,,1 year,1sec,,"North Sea, Germany",,,Offshore,,No,No
"Hu, Yang; Xi, Yunhua; Pan, Chenyang; Li, Gengda; Chen, Baowei; ",Daily condition monitoring of grid-connected wind turbine via high-fidelity power curve and its comprehensive rating,Renewable Energy,146.0,,2095-2111,2020,Elsevier,power curve monitoring,2025-06-12,10.1016/j.renene.2019.08.043,"@article{Hu_2020, title={Daily condition monitoring of grid-connected wind turbine via high-fidelity power curve and its comprehensive rating}, volume={146}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2019.08.043}, DOI={10.1016/j.renene.2019.08.043}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Hu, Yang and Xi, Yunhua and Pan, Chenyang and Li, Gengda and Chen, Baowei}, year={2020}, month=feb, pages={2095–2111} }",https://doi.org/10.1016/j.renene.2019.08.043,True,True,True,Wind Speed Only,"Conditional Kernel Density Estimation, Gaussian Process, SVR, Logistic Function","MREICP, MREACE, REIAW, RMSE",,01-01-2018,30-04-2018,,,,,,,,,No,No
"Pandit, Ravi; Kolios, Athanasios; ",SCADA data-based support vector machine wind turbine power curve uncertainty estimation and its comparative studies,Applied Sciences,10.0,23.0,8685,2020,MDPI,power curve estimation,2025-06-12,10.3390/app10238685,"@article{Pandit_2020, title={SCADA Data-Based Support Vector Machine Wind Turbine Power Curve Uncertainty Estimation and Its Comparative Studies}, volume={10}, ISSN={2076-3417}, url={http://dx.doi.org/10.3390/app10238685}, DOI={10.3390/app10238685}, number={23}, journal={Applied Sciences}, publisher={MDPI AG}, author={Pandit, Ravi and Kolios, Athanasios}, year={2020}, month=dec, pages={8685} }",https://doi.org/10.3390/app10238685,True,True,True,Wind Speed Only,SVR,"R^2, RMSE, MAE",,01-09-2012,30-11-2012,,10min,215,"Glasgow, Scotland, UK",,,Onshore,,,
"Saint-Drenan, Yves-Marie; Besseau, Romain; Jansen, Malte; Staffell, Iain; Troccoli, Alberto; Dubus, Laurent; Schmidt, Johannes; Gruber, Katharina; Simões, Sofia G; Heier, Siegfried; ",A parametric model for wind turbine power curves incorporating environmental conditions,Renewable Energy,157.0,,754-768,2020,Elsevier,wind energy power curve,2025-06-12,10.1016/j.renene.2020.04.123,"@article{Saint_Drenan_2020, title={A parametric model for wind turbine power curves incorporating environmental conditions}, volume={157}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2020.04.123}, DOI={10.1016/j.renene.2020.04.123}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Saint-Drenan, Yves-Marie and Besseau, Romain and Jansen, Malte and Staffell, Iain and Troccoli, Alberto and Dubus, Laurent and Schmidt, Johannes and Gruber, Katharina and Simões, Sofia G. and Heier, Siegfried}, year={2020}, month=sep, pages={754–768} }",https://doi.org/10.1016/j.renene.2020.04.123,True,True,True,"power density, cut-in speed, cut-out speed, Rotor RPM, aerodynamic efficiency, Turbulence Intensity, Air Density, Wind Shear, wind veer, wake effect, inflow angle",Power-coefficient based model,None,https://www.thewindpower.net/,,,,,91,,,>1MW,,,Yes,Yes
"Rogers, TJ; Gardner, P; Dervilis, N; Worden, K; Maguire, AE; Papatheou, E; Cross, EJ; ",Probabilistic modelling of wind turbine power curves with application of heteroscedastic Gaussian process regression,Renewable Energy,148.0,,1124-1136,2020,Elsevier,wind turbine power curve,2025-06-12,10.1016/j.renene.2019.09.145,"@article{Rogers_2020, title={Probabilistic modelling of wind turbine power curves with application of heteroscedastic Gaussian Process regression}, volume={148}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2019.09.145}, DOI={10.1016/j.renene.2019.09.145}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Rogers, T.J. and Gardner, P. and Dervilis, N. and Worden, K. and Maguire, A.E. and Papatheou, E. and Cross, E.J.}, year={2020}, month=apr, pages={1124–1136} }",https://doi.org/10.1016/j.renene.2019.09.145,True,True,True,Wind Speed Only,Gaussian Process,NMSE,,,,125 weeks,10min,1,,,,,,No,No
"Mehrjoo, Mehrdad; Jozani, Mohammad Jafari; Pawlak, Miroslaw; ",Wind turbine power curve modeling for reliable power prediction using monotonic regression,Renewable Energy,147.0,,214-222,2020,Elsevier,power curve,2025-06-12,10.1016/j.renene.2019.08.060,"@article{Mehrjoo_2020, title={Wind turbine power curve modeling for reliable power prediction using monotonic regression}, volume={147}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2019.08.060}, DOI={10.1016/j.renene.2019.08.060}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Mehrjoo, Mehrdad and Jafari Jozani, Mohammad and Pawlak, Miroslaw}, year={2020}, month=mar, pages={214–222} }",https://doi.org/10.1016/j.renene.2019.08.060,True,True,True,Wind Speed Only,"Piece-wise Polynomial Regression, Conditional Kernel Density Estimation","RMSE, NMAPE",,01-06-2006,01-01-2007,,10min; 1h,,"Manitoba, Canada",,,,,No,No
"Shetty, Rashmi P; Sathyabhama, A; Pai, P Srinivasa; ",Comparison of modeling methods for wind power prediction: a critical study,Frontiers in Energy,14.0,2.0,347-358,2020,Springer,wind power curve,2025-06-12,10.1007/s11708-018-0553-3,"@article{Shetty_2018, title={Comparison of modeling methods for wind power prediction: a critical study}, volume={14}, ISSN={2095-1698}, url={http://dx.doi.org/10.1007/s11708-018-0553-3}, DOI={10.1007/s11708-018-0553-3}, number={2}, journal={Frontiers in Energy}, publisher={Springer Science and Business Media LLC}, author={Shetty, Rashmi P. and Sathyabhama, A. and Pai, P. Srinivasa}, year={2018}, month=apr, pages={347–358} }",https://doi.org/10.1007/s11708-018-0553-3,True,True,True,"Blade Pitch Angle, Air Density, Rotor RPM, Wind Direction","ANN, RSM, Piece-wise Linear Regression, Piece-wise Polynomial Regression, Splines, MLP",RMSE,,01.06.2013,30.11.2013,,1 hour,1,India,5,"1,5",,,No,No
"Lee, Joseph CY; Stuart, Peter; Clifton, Andrew; Fields, M Jason; Perr-Sauer, Jordan; Williams, Lindy; Cameron, Lee; Geer, Taylor; Housley, Paul; ",The Power Curve Working Group's assessment of wind turbine power performance prediction methods,Wind Energy Science,5.0,1,199-223,2020,"Copernicus Publications Göttingen, Germany",wind energy power curve,2025-06-12,10.5194/wes-2019-69,"@article{Lee_2019, title={The Power Curve Working Group’s Assessment of Wind Turbine
Power Performance Prediction Methods}, url={http://dx.doi.org/10.5194/wes-2019-69}, DOI={10.5194/wes-2019-69}, publisher={Copernicus GmbH}, author={Lee, Joseph C. Y. and Stuart, Peter and Clifton, Andrew and Fields, M. Jason and Perr-Sauer, Jordan and Williams, Lindy and Cameron, Lee and Geer, Taylor and Housley, Paul}, year={2019}, month=oct }",https://doi.org/10.5194/wes-2019-69,True,True,True,"Ambient Temperature, Air Pressure, Air Density, Wind Shear, Turbulence Intensity, Datetime, Wind Direction","IEC Standard, piecewise cubic Hermite interpolating polynomial","MAE, Mean error",Share-3 exercise data from Power Curve Working Group (PCWG),01.01.2011,31.12.2018,,10 min,55,,,,,,No,Yes
"Wang, Yun; Li, Yifen; Zou, Runmin; Foley, Aoife M; Al Kez, Dlzar; Song, Dongran; Hu, Qinghua; Srinivasan, Dipti; ",Sparse heteroscedastic multiple spline regression models for wind turbine power curve modeling,IEEE Transactions on Sustainable Energy,12.0,1.0,191-201,2020,IEEE,power curve model,2025-06-12,10.1109/tste.2020.2988683,"@article{Wang_2021, title={Sparse Heteroscedastic Multiple Spline Regression Models for Wind Turbine Power Curve Modeling}, volume={12}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2020.2988683}, DOI={10.1109/tste.2020.2988683}, number={1}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Wang, Yun and Li, Yifen and Zou, Runmin and Foley, Aoife M. and Al Kez, Dlzar and Song, Dongran and Hu, Qinghua and Srinivasan, Dipti}, year={2021}, month=jan, pages={191–201} }",https://doi.org/10.1109/tste.2020.2988683,True,True,True,Wind Speed Only,SHMSRM,"MAE, RMSE, NMAPE",,,,,10 min,3,China,1,,Onshore,,No,No
"Han, Shuang; Qiao, Yanhui; Yan, Ping; Yan, Jie; Liu, Yongqian; Li, Li; ",Wind turbine power curve modeling based on interval extreme probability density for the integration of renewable energies and electric vehicles,Renewable energy,157.0,,190-203,2020,Elsevier,power curve model,2025-06-12,10.1016/j.renene.2020.04.097,"@article{Han_2020, title={Wind turbine power curve modeling based on interval extreme probability density for the integration of renewable energies and electric vehicles}, volume={157}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2020.04.097}, DOI={10.1016/j.renene.2020.04.097}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Han, Shuang and Qiao, Yanhui and Yan, Ping and Yan, Jie and Liu, Yongqian and Li, Li}, year={2020}, month=sep, pages={190–203} }",https://doi.org/10.1016/j.renene.2020.04.097,True,True,True,"Ambient Temperature, Air Pressure, Air Density, Blade Pitch Angle","IEC Standard, MLE, ANN, Polynomial regression","RMSE, MAE, Duration",,,,,15 min,12,China,4,2,,,No,No
"Sun, Haiying; Qiu, Changyu; Lu, Lin; Gao, Xiaoxia; Chen, Jian; Yang, Hongxing; ",Wind turbine power modelling and optimization using artificial neural network with wind field experimental data,Applied Energy,280.0,,115880,2020,Elsevier,wind turbine power,2025-06-13,10.1016/j.apenergy.2020.115880,"@article{Sun_2020, title={Wind turbine power modelling and optimization using artificial neural network with wind field experimental data}, volume={280}, ISSN={0306-2619}, url={http://dx.doi.org/10.1016/j.apenergy.2020.115880}, DOI={10.1016/j.apenergy.2020.115880}, journal={Applied Energy}, publisher={Elsevier BV}, author={Sun, Haiying and Qiu, Changyu and Lu, Lin and Gao, Xiaoxia and Chen, Jian and Yang, Hongxing}, year={2020}, month=dec, pages={115880} }",https://doi.org/10.1016/j.apenergy.2020.115880,True,True,True,"Wind Direction, yaw angle",Feed forward NN,"R^2, MSE",,,,,,5,Shiren Wind Farm in northern China,15,1.55,Onshore,,No,No
"Dongre, Bharti; Pateriya, Rajesh K; ",Power curve model classification to estimate wind turbine power output,Wind Engineering,43.0,3.0,213-224,2019,"SAGE Publications Sage UK: London, England",power curve estimation,2025-06-12,10.1177/0309524x18780393,"@article{Dongre_2018, title={Power curve model classification to estimate wind turbine power output}, volume={43}, ISSN={2048-402X}, url={http://dx.doi.org/10.1177/0309524x18780393}, DOI={10.1177/0309524x18780393}, number={3}, journal={Wind Engineering}, publisher={SAGE Publications}, author={Dongre, Bharti and Pateriya, Rajesh K}, year={2018}, month=jun, pages={213–224} }",https://doi.org/10.1177/0309524x18780393,True,True,False,,,None,,,,,,,,,,,,,
"Long, Huan; Sang, Linwei; Wu, Zaijun; Gu, Wei; ",Image-based abnormal data detection and cleaning algorithm via wind power curve,IEEE Transactions on Sustainable Energy,11.0,2.0,938-946,2019,IEEE,wind power curve,2025-06-12,10.1109/tste.2019.2914089,"@article{Long_2020, title={Image-Based Abnormal Data Detection and Cleaning Algorithm via Wind Power Curve}, volume={11}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2019.2914089}, DOI={10.1109/tste.2019.2914089}, number={2}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Long, Huan and Sang, Linwei and Wu, Zaijun and Gu, Wei}, year={2020}, month=apr, pages={938–946} }",https://doi.org/10.1109/tste.2019.2914089,True,False,True,,,None,,,,,,,,,,,,,
"Wadhvani, Rajesh; Shukla, Sanyam; ",Analysis of parametric and non-parametric regression techniques to model the wind turbine power curve,Wind Engineering,43.0,3.0,225-232,2019,"SAGE Publications Sage UK: London, England",power curve monitoring,2025-06-12,10.1177/0309524x18780398,"@article{Wadhvani_2018, title={Analysis of parametric and non-parametric regression techniques to model the wind turbine power curve}, volume={43}, ISSN={2048-402X}, url={http://dx.doi.org/10.1177/0309524x18780398}, DOI={10.1177/0309524x18780398}, number={3}, journal={Wind Engineering}, publisher={SAGE Publications}, author={Wadhvani, Rajesh and Shukla, Sanyam}, year={2018}, month=jun, pages={225–232} }",https://doi.org/10.1177/0309524x18780398,False,False,False,,,None,,,,,,,,,,,,,
"Pei, Shenglei; Li, Yifen; ",Wind turbine power curve modeling with a hybrid machine learning technique,Applied Sciences,9.0,22.0,4930,2019,MDPI,power curve estimation,2025-06-12,10.3390/app9224930,"@article{Pei_2019, title={Wind Turbine Power Curve Modeling with a Hybrid Machine Learning Technique}, volume={9}, ISSN={2076-3417}, url={http://dx.doi.org/10.3390/app9224930}, DOI={10.3390/app9224930}, number={22}, journal={Applied Sciences}, publisher={MDPI AG}, author={Pei, Shenglei and Li, Yifen}, year={2019}, month=nov, pages={4930} }",https://doi.org/10.3390/app9224930,True,True,True,Wind Speed Only,"Logistic Function, Modified hyperbolic tangent function, Feed forward NN, adaptive neuro-fuzzy
interference system, Extreme Learning Machine","MAE, RMSE, NMAPE, R^2",,,,,,,"Xichang, China; Hunan,China",,,,,No,No
"Lledó, Ll; Torralba, Verónica; Soret, Albert; Ramon, Jaume; Doblas-Reyes, Francisco J; ",Seasonal forecasts of wind power generation,Renewable Energy,143.0,,91-100,2019,Elsevier,wind power curve,2025-06-12,10.1016/j.renene.2019.04.135,"@article{Lled__2019, title={Seasonal forecasts of wind power generation}, volume={143}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2019.04.135}, DOI={10.1016/j.renene.2019.04.135}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Lledó, Ll. and Torralba, V. and Soret, A. and Ramon, J. and Doblas-Reyes, F.J.}, year={2019}, month=dec, pages={91–100} }",https://doi.org/10.1016/j.renene.2019.04.135,True,False,True,,,None,,,,,,,,,,,,,
"Wang, Yun; Hu, Qinghua; Pei, Shenglei; ",Wind power curve modeling with asymmetric error distribution,IEEE Transactions on Sustainable Energy,11.0,3.0,1199-1209,2019,IEEE,power curve model,2025-06-12,10.1109/tste.2019.2920386,"@article{Wang_2020, title={Wind Power Curve Modeling With Asymmetric Error Distribution}, volume={11}, ISSN={1949-3037}, url={http://dx.doi.org/10.1109/tste.2019.2920386}, DOI={10.1109/tste.2019.2920386}, number={3}, journal={IEEE Transactions on Sustainable Energy}, publisher={Institute of Electrical and Electronics Engineers (IEEE)}, author={Wang, Yun and Hu, Qinghua and Pei, Shenglei}, year={2020}, month=jul, pages={1199–1209} }",https://doi.org/10.1109/tste.2019.2920386,True,True,True,Wind Speed Only,"Splines, Logistic Function, Modified hyperbolic tangent function, SVR, Gaussian Process, adaptive neuro-fuzzy
interference system (AFIN), k-NN, Feed forward NN","MAE, RMSE, R^2",,,,Spring and winter; unknown,1min; 10min,,"Saihanba, China; Ningxia, China; Xichang, China; Hunan, China",,,,,No,No
"Pandit, Ravi Kumar; Infield, David; Carroll, James; ",Incorporating air density into a Gaussian process wind turbine power curve model for improving fitting accuracy,Wind Energy,22.0,2.0,302-315,2019,Wiley Online Library,power curve model,2025-06-12,10.1002/we.2285,"@article{Pandit_2018, title={Incorporating air density into a Gaussian process wind turbine power curve model for improving fitting accuracy}, volume={22}, ISSN={1099-1824}, url={http://dx.doi.org/10.1002/we.2285}, DOI={10.1002/we.2285}, number={2}, journal={Wind Energy}, publisher={Wiley}, author={Pandit, Ravi Kumar and Infield, David and Carroll, James}, year={2018}, month=oct, pages={302–315} }",https://doi.org/10.1002/we.2285,True,True,True,Air Density,Gaussian Process,"MAE, MSE, MAPE, RMSE, R^2",,01-02-2010;01-08-2010,28-02-2010;31-08-2010,,,,,,,,,No,No
"Pandit, Ravi Kumar; Infield, David; Kolios, Athanasios; ",Comparison of advanced non‐parametric models for wind turbine power curves,IET Renewable Power Generation,13.0,9.0,1503-1510,2019,Wiley Online Library,wind turbine power curve,2025-06-12,10.1049/iet-rpg.2018.5728,"@article{Pandit_2019, title={Comparison of advanced non‐parametric models for wind turbine power curves}, volume={13}, ISSN={1752-1424}, url={http://dx.doi.org/10.1049/iet-rpg.2018.5728}, DOI={10.1049/iet-rpg.2018.5728}, number={9}, journal={IET Renewable Power Generation}, publisher={Institution of Engineering and Technology (IET)}, author={Pandit, Ravi Kumar and Infield, David and Kolios, Athanasios}, year={2019}, month=apr, pages={1503–1510} }",https://doi.org/10.1049/iet-rpg.2018.5728,True,True,True,Air Density,"Gaussian Process, RF, SVR","RMSE, R^2, MAE",,01-10-2012,31-12-2012,,10min,,Scotland,,2.3 MW,,,,
"Wang, Yun; Hu, Qinghua; Li, Linhao; Foley, Aoife M; Srinivasan, Dipti; ",Approaches to wind power curve modeling: A review and discussion,Renewable and Sustainable Energy Reviews,116.0,,109422,2019,Elsevier,power curve,2025-06-12,10.1016/j.rser.2019.109422,"@article{Wang_2019, title={Approaches to wind power curve modeling: A review and discussion}, volume={116}, ISSN={1364-0321}, url={http://dx.doi.org/10.1016/j.rser.2019.109422}, DOI={10.1016/j.rser.2019.109422}, journal={Renewable and Sustainable Energy Reviews}, publisher={Elsevier BV}, author={Wang, Yun and Hu, Qinghua and Li, Linhao and Foley, Aoife M. and Srinivasan, Dipti}, year={2019}, month=dec, pages={109422} }",https://doi.org/10.1016/j.rser.2019.109422,False,True,True,,,None,,,,,,,,,,,,,
"Yan, Jie; Zhang, Hao; Liu, Yongqian; Han, Shuang; Li, Li; ",Uncertainty estimation for wind energy conversion by probabilistic wind turbine power curve modelling,Applied energy,239.0,,1356-1370,2019,Elsevier,power curve,2025-06-12,10.1016/j.apenergy.2019.01.180,"@article{Yan_2019, title={Uncertainty estimation for wind energy conversion by probabilistic wind turbine power curve modelling}, volume={239}, ISSN={0306-2619}, url={http://dx.doi.org/10.1016/j.apenergy.2019.01.180}, DOI={10.1016/j.apenergy.2019.01.180}, journal={Applied Energy}, publisher={Elsevier BV}, author={Yan, Jie and Zhang, Hao and Liu, Yongqian and Han, Shuang and Li, Li}, year={2019}, month=apr, pages={1356–1370} }",https://doi.org/10.1016/j.apenergy.2019.01.180,True,True,True,"Wind Direction, Blade Pitch Angle","Feed forward NN, MCS, Fuzzy Clustering","RMSE, MAE, Expected Variance Ratio (EVR)",,01-01-2014;01-01-2017,31-12-2014;31-12-2017,,10min,24;33,northeast China; coastel area china,,2MW; 1.5MW,,,No,No
"Pandit, Ravi Kumar; Infield, David; ",Comparative analysis of Gaussian process power curve models based on different stationary covariance functions for the purpose of improving model accuracy,Renewable Energy,140.0,,190-202,2019,Elsevier,power curve model,2025-06-12,10.1016/j.renene.2019.03.047,"@article{Pandit_2019, title={Comparative analysis of Gaussian Process power curve models based on different stationary covariance functions for the purpose of improving model accuracy}, volume={140}, ISSN={0960-1481}, url={http://dx.doi.org/10.1016/j.renene.2019.03.047}, DOI={10.1016/j.renene.2019.03.047}, journal={Renewable Energy}, publisher={Elsevier BV}, author={Pandit, Ravi Kumar and Infield, David}, year={2019}, month=sep, pages={190–202} }",https://doi.org/10.1016/j.renene.2019.03.047,True,True,True,Wind Speed Only,Gaussian Process,"MAE, R^2, RMSE",,1/1/2012,31/1/2012,,10 min,,"Scotland, UK",>100,2.3,,2538,No,No
"Vahidzadeh, Mohsen; Markfort, Corey D; ",Modified power curves for prediction of power output of wind farms,Energies,12.0,9,1805,2019,MDPI,wind farm power curve,2025-06-12,10.3390/en12091805,"@article{Vahidzadeh_2019, title={Modified Power Curves for Prediction of Power Output of Wind Farms}, volume={12}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en12091805}, DOI={10.3390/en12091805}, number={9}, journal={Energies}, publisher={MDPI AG}, author={Vahidzadeh, Mohsen and Markfort, Corey D.}, year={2019}, month=may, pages={1805} }",https://doi.org/10.3390/en12091805,True,True,True,"Humidity, Ambient Temperature, Air Pressure, Blade Pitch Angle","IEC Standard, Power Surface","RMSE, MAE",Clipper Liberty 2.5 MW turbine,20.02.2018,18.06.2018,,1 second and 10 minute,1,Kirkwood community college ,6,"2,5 (downgraded to 2,3)",Onshore,,No,No
"Tao, Siyu; Xu, Qingshan; Feijóo, Andrés; Kuenzel, Stefanie; Bokde, Neeraj; ",Integrated wind farm power curve and power curve distribution function considering the wake effect and terrain gradient,Energies,12.0,13,2482,2019,MDPI,wind farm power curve,2025-06-12,10.3390/en12132482,"@article{Tao_2019, title={Integrated Wind Farm Power Curve and Power Curve Distribution Function Considering the Wake Effect and Terrain Gradient}, volume={12}, ISSN={1996-1073}, url={http://dx.doi.org/10.3390/en12132482}, DOI={10.3390/en12132482}, number={13}, journal={Energies}, publisher={MDPI AG}, author={Tao, Siyu and Xu, Qingshan and Feijóo, Andrés and Kuenzel, Stefanie and Bokde, Neeraj}, year={2019}, month=jun, pages={2482} }",https://doi.org/10.3390/en12132482,True,True,True,"Wind Shear, Air Density, Terrain Gradient","Jensen's Wake Model, Logistic Function, Weibull CDF model",None,Simulated dataset,,,,,25,,,2,Onshore,,No,No
